,submission_time,num_gpus,duration
925,129,1,91
926,129,1,81
927,129,1,187
928,129,1,320
929,130,1,1682
930,130,1,1340
931,130,1,28
932,130,1,1800
933,130,1,132
934,130,1,112
935,131,1,62
936,131,1,102
937,131,8,1800
938,131,4,517
939,131,1,364
940,132,1,373
941,132,1,1800
942,132,1,35
943,132,1,51
944,132,1,154
945,132,1,68
946,132,1,1097
947,132,1,35
948,132,1,1800
949,132,1,42
950,133,1,41
951,133,1,13
952,133,1,507
953,133,1,41
954,133,1,806
955,133,1,103
956,134,1,71
957,134,1,1800
958,134,1,1800
959,134,1,1800
960,134,1,109
961,135,1,496
962,135,1,344
963,136,1,72
964,136,1,43
965,136,1,245
966,136,1,41
967,136,1,216
968,137,1,52
969,137,1,30
970,137,1,1800
971,137,1,1800
972,138,1,1800
973,138,1,233
974,138,1,1189
975,138,1,1800
976,138,1,51
977,138,1,23
978,138,1,53
979,139,1,568
980,139,1,788
981,139,1,929
982,139,1,254
983,139,1,32
984,140,1,1238
985,140,1,84
986,140,1,1800
987,140,1,112
988,141,1,13
989,141,1,264
990,141,1,133
991,141,1,1800
992,141,1,1800
993,141,1,73
994,141,1,42
995,141,1,507
996,142,1,73
997,142,1,300
998,142,1,490
999,142,1,229
1000,142,1,1800
1001,142,1,22
1002,143,1,1800
1003,143,1,1800
1004,143,1,203
1005,143,1,612
1006,143,1,272
1007,143,1,540
1008,143,1,1800
1009,143,1,1517
1010,144,1,13
1011,145,1,1800
1012,145,1,1558
1013,146,1,1800
1014,146,1,1800
1015,146,1,393
1016,146,1,620
1017,146,1,33
1018,146,1,355
1019,146,1,1800
1020,147,1,1800
1021,147,1,1800
1022,147,1,465
1023,148,1,13
1024,148,1,101
1025,149,1,981
1026,149,1,210
1027,149,1,145
1028,149,4,561
1029,149,1,19
1030,150,1,284
1031,150,1,1800
1032,150,1,1800
1033,150,1,266
1034,150,1,535
1035,151,1,41
1036,151,1,62
1037,151,1,1800
1038,152,2,1800
1039,152,1,71
1040,153,1,22
1041,153,1,274
1042,154,1,696
1043,154,1,52
1044,154,1,663
1045,154,1,238
1046,154,1,376
1047,154,1,717
1048,154,1,256
1049,155,1,1800
1050,155,1,233
1051,155,1,32
1052,155,8,1800
1053,155,1,506
1054,156,1,720
1055,157,1,84
1056,157,1,233
1057,157,1,117
1058,157,1,13
1059,157,1,211
1060,158,1,12
1061,158,1,224
1062,158,1,1800
1063,159,1,1800
1064,159,1,1800
1065,159,2,1800
1066,159,1,286
1067,159,1,276
1068,159,1,13
1069,160,1,213
1070,160,1,85
1071,160,1,1800
1072,160,1,42
1073,160,1,127
1074,160,1,552
1075,160,1,364
1076,161,1,1800
1077,161,1,1800
1078,161,1,540
1079,161,1,1800
1080,161,1,1800
1081,162,1,797
1082,162,1,625
1083,162,1,154
1084,162,1,1800
1085,162,1,23
1086,162,1,12
1087,162,1,959
1088,163,1,766
1089,163,1,1800
1090,163,1,163
1091,163,1,14
1092,163,1,797
1093,164,1,1800
1094,164,1,378
1095,164,1,358
1096,164,1,377
1097,164,1,1630
1098,165,1,36
1099,165,1,65
1100,165,1,61
1101,165,1,314
1102,166,1,52
1103,166,1,1800
1104,166,1,1800
1105,166,1,33
1106,166,1,245
1107,166,1,1800
1108,166,1,905
1109,167,1,31
1110,167,1,516
1111,167,1,81
1112,168,1,1800
1113,168,1,1800
1114,168,1,1800
1115,168,1,1638
1116,168,1,52
1117,168,2,1800
1118,168,1,37
1119,168,1,313
1120,168,1,76
1121,169,1,1455
1122,169,1,281
1123,169,1,33
1124,169,1,120
1125,169,1,887
1126,169,1,1800
1127,169,1,33
1128,169,1,156
1129,170,2,1800
1130,170,1,1800
1131,170,1,396
1132,170,1,1800
1133,170,1,241
1134,170,1,71
1135,170,1,94
1136,170,1,122
1137,170,1,449
1138,171,1,73
1139,171,1,1800
1140,171,1,97
1141,171,1,1503
1142,171,1,1800
1143,172,1,93
1144,172,1,104
1145,172,1,1800
1146,172,1,1008
1147,172,1,35
1148,172,1,23
1149,174,1,1320
1150,174,1,12
1151,175,1,475
1152,175,1,1800
1153,175,1,975
1154,175,1,23
1155,175,1,1800
1156,175,1,1065
1157,176,1,1097
1158,176,1,283
1159,176,1,53
1160,177,1,52
1161,178,1,1800
1162,178,1,1800
1163,178,1,1004
1164,178,1,1800
1165,178,1,21
1166,179,1,1800
1167,179,1,583
1168,179,1,1597
1169,180,1,12
1170,181,1,133
1171,181,1,33
1172,181,1,262
1173,181,1,565
1174,182,1,41
1175,182,1,1448
1176,182,1,1800
1177,182,1,33
1178,182,1,1014
1179,182,1,500
1180,182,1,92
1181,182,1,349
1182,183,1,445
1183,183,1,411
1184,183,1,12
1185,183,1,614
1186,183,1,425
1187,183,1,184
1188,183,1,234
1189,184,1,1800
1190,184,1,52
1191,184,1,359
1192,184,2,52
1193,184,1,167
1194,185,1,12
1195,185,2,162
1196,185,1,53
1197,185,1,255
1198,185,1,1800
1199,185,1,1800
1200,185,1,32
1201,186,1,635
1202,186,1,1800
1203,186,1,1800
1204,186,1,1800
1205,186,1,1800
1206,186,1,1800
1207,187,1,255
1208,187,1,63
1209,187,1,1800
1210,187,1,95
1211,187,1,22
1212,187,1,153
1213,188,1,1800
1214,188,1,12
1215,188,1,769
1216,188,1,181
1217,189,1,112
1218,189,1,103
1219,190,1,1800
1220,190,1,365
1221,190,1,154
1222,190,1,497
1223,190,1,1501
1224,190,1,1800
1225,190,1,1800
1226,190,1,43
1227,191,1,1800
1228,191,1,122
1229,191,1,1800
1230,191,1,1800
1231,191,1,1800
1232,191,1,1800
1233,191,1,1800
1234,191,1,320
1235,191,1,1800
1236,191,1,993
1237,191,1,1800
1238,191,1,194
1239,191,1,1800
1240,191,1,1800
1241,191,1,364
1242,191,1,1800
1243,191,1,293
1244,191,1,1800
1245,191,1,61
1246,191,4,535
1247,191,1,1800
1248,191,1,389
1249,191,1,1800
1250,191,1,1800
1251,191,1,276
1252,192,1,585
1253,192,1,1800
1254,192,1,1800
1255,192,1,351
1256,192,1,1800
1257,192,1,1800
1258,192,1,1800
1259,192,1,1800
1260,192,1,1800
1261,192,1,1800
1262,192,1,1800
1263,192,1,62
1264,192,1,1800
1265,192,1,1800
1266,192,1,13
1267,193,1,13
1268,193,1,351
1269,193,1,51
1270,193,1,41
1271,193,1,355
1272,193,1,178
1273,194,1,1800
1274,194,1,1800
1275,194,1,1800
1276,194,1,1800
1277,194,1,32
1278,194,1,606
1279,194,1,1800
1280,194,1,1800
1281,194,1,1800
1282,195,1,31
1283,195,1,1800
1284,195,1,298
1285,196,1,333
1286,196,1,113
1287,196,1,191
1288,196,1,62
1289,196,1,1800
1290,197,1,31
1291,197,1,72
1292,197,1,969
1293,198,1,445
1294,198,1,1800
1295,198,1,43
1296,199,1,1800
1297,199,1,233
1298,199,1,1800
1299,199,1,1800
1300,199,1,1800
1301,199,1,71
1302,199,1,1800
1303,199,1,1800
1304,199,1,1800
1305,199,1,1800
1306,199,1,1800
1307,199,1,1800
1308,199,1,1800
1309,199,1,1800
1310,199,1,1800
1311,199,1,1800
1312,199,1,1800
1313,199,1,1800
1314,199,1,1800
1315,199,1,276
1316,199,1,52
1317,199,1,1800
1318,199,1,1800
1319,199,1,1800
1320,200,1,13
1321,201,1,386
1322,201,1,413
1323,201,1,533
1324,201,1,377
1325,201,1,1800
1326,201,1,22
1327,201,1,223
1328,201,1,379
1329,201,1,183
1330,202,1,736
1331,203,1,935
1332,203,1,935
1333,203,1,12
1334,203,1,1800
1335,203,1,1800
1336,203,1,89
1337,203,1,1049
1338,203,1,1280
1339,203,1,1047
1340,203,1,902
1341,204,1,55
1342,204,1,115
1343,204,1,835
1344,204,1,941
1345,204,1,527
1346,204,1,115
1347,205,1,1303
1348,205,1,787
1349,206,1,262
1350,206,1,207
1351,206,1,147
1352,206,1,91
1353,206,1,464
1354,207,1,90
1355,207,1,1800
1356,208,1,154
1357,208,1,1800
1358,208,1,1800
1359,208,1,997
1360,208,1,1800
